disease,sex,ageClass,burdenType,value
Depression,F,ageClass8,yld,966.7097828
Depression,M,ageClass1,yld,0.514823139
Depression,M,ageClass2,yld,865.3095504
Depression,M,ageClass3,yld,2613.348456
Depression,M,ageClass4,yld,3186.336058
Depression,M,ageClass5,yld,3036.038919
Depression,M,ageClass6,yld,1392.27536
Depression,M,ageClass7,yld,578.6927788
Depression,M,ageClass8,yld,345.4328166
Depression,F,ageClass1,yll,0
Depression,F,ageClass2,yll,0
Depression,F,ageClass3,yll,0
Depression,F,ageClass4,yll,0
Depression,F,ageClass5,yll,36.77002587
Depression,F,ageClass6,yll,14.51903424
Depression,F,ageClass7,yll,17.27250448
Depression,F,ageClass8,yll,18.49305219
Depression,M,ageClass1,yll,0
Depression,M,ageClass2,yll,0
Depression,M,ageClass3,yll,0
Depression,M,ageClass4,yll,8.344298264
Depression,M,ageClass5,yll,12.35575027
Depression,M,ageClass6,yll,8.230324289
Depression,M,ageClass7,yll,10.39381711
Depression,M,ageClass8,yll,4.034127031
Diabetes,F,ageClass1,daly,22.50047891
Diabetes,F,ageClass2,daly,51.65222788
Diabetes,F,ageClass3,daly,403.9959816
Diabetes,F,ageClass4,daly,1501.370392
Diabetes,F,ageClass5,daly,2959.892103
Diabetes,F,ageClass6,daly,2342.343124
Diabetes,F,ageClass7,daly,1646.049138
Diabetes,F,ageClass8,daly,1340.952819
Diabetes,M,ageClass1,daly,27.03513048
Diabetes,M,ageClass2,daly,63.69698982
Diabetes,M,ageClass3,daly,312.4871129
Diabetes,M,ageClass4,daly,1633.031303
Diabetes,M,ageClass5,daly,4125.495732
Diabetes,M,ageClass6,daly,3384.362314
Diabetes,M,ageClass7,daly,1885.673633
Diabetes,M,ageClass8,daly,1081.697117
Diabetes,F,ageClass1,deaths,0
Diabetes,F,ageClass2,deaths,0.2
Diabetes,F,ageClass3,deaths,2
Diabetes,F,ageClass4,deaths,13
Diabetes,F,ageClass5,deaths,45.8
Diabetes,F,ageClass6,deaths,67.2
Diabetes,F,ageClass7,deaths,83.6
Diabetes,F,ageClass8,deaths,175.4
Diabetes,M,ageClass1,deaths,0
Diabetes,M,ageClass2,deaths,0
Diabetes,M,ageClass3,deaths,2
Diabetes,M,ageClass4,deaths,17
Diabetes,M,ageClass5,deaths,78.6
Diabetes,M,ageClass6,deaths,116.4
Diabetes,M,ageClass7,deaths,113.4
Diabetes,M,ageClass8,deaths,147.8
Diabetes,F,ageClass1,yld,22.50047891
Diabetes,F,ageClass2,yld,36.8078845
Diabetes,F,ageClass3,yld,288.2131439
Diabetes,F,ageClass4,yld,962.7848634
Diabetes,F,ageClass5,yld,1741.818842
Diabetes,F,ageClass6,yld,1251.254679
Diabetes,F,ageClass7,yld,864.5663021
Diabetes,F,ageClass8,yld,698.9771723
Diabetes,M,ageClass1,yld,27.03513048
Diabetes,M,ageClass2,yld,63.69698982
Diabetes,M,ageClass3,yld,197.3094816
Diabetes,M,ageClass4,yld,956.3690378
Diabetes,M,ageClass5,yld,2241.121814
Diabetes,M,ageClass6,yld,1720.326291
Diabetes,M,ageClass7,yld,973.3091002
Diabetes,M,ageClass8,yld,563.9053032
Diabetes,F,ageClass1,yll,0
Diabetes,F,ageClass2,yll,14.84434338
Diabetes,F,ageClass3,yll,115.7828377
Diabetes,F,ageClass4,yll,538.5855285
Diabetes,F,ageClass5,yll,1218.073261
Diabetes,F,ageClass6,yll,1091.088446
Diabetes,F,ageClass7,yll,781.482836
Diabetes,F,ageClass8,yll,641.9756466
Diabetes,M,ageClass1,yll,0
Diabetes,M,ageClass2,yll,0
Diabetes,M,ageClass3,yll,115.1776313
Diabetes,M,ageClass4,yll,676.662265
Diabetes,M,ageClass5,yll,1884.373918
Diabetes,M,ageClass6,yll,1664.036023
Diabetes,M,ageClass7,yll,912.3645327
Diabetes,M,ageClass8,yll,517.7918143
