disease,sex,dproj,yll,yld,daly
HHD,M,366.6641722858,2333.8830697798,110.3578071862,2444.243029806
HHD,F,0.1581577526,13.4029594911,0.0546781278,13.4576369362
HHD,F,0.0666830538,5.0633005581,0.2512318245,5.3145601497
HHD,F,0.7290929127,44.7586522215,3.1032545728,47.8618931794
HHD,F,9.1691150305,425.4291759891,15.420129411,440.8501512831
HHD,F,53.4575802585,1800.8879500067,58.8308027261,1859.7168240102
HHD,F,81.8997543704,1889.6462288067,74.5429004769,1964.1870080321
HHD,F,143.9242545421,2073.5292927282,94.7883306984,2168.3219887361
HHD,F,795.0101679467,4353.1593414858,206.6355805405,4559.8020564014
IHD,M,1.7886310132,151.935478064,1.3406824725,153.2762792117
IHD,M,0.9854641801,74.2822127621,5.3837543005,79.6658141939
IHD,M,13.8685466904,857.9128763038,141.5512047725,999.4654867534
IHD,M,57.9123786134,2691.9279142153,274.2923385576,2966.2147022453
IHD,M,435.5422083881,14563.6030219989,1094.5322065829,15658.129393473
IHD,M,534.5758025849,12391.9794155997,1054.0896648261,13446.0725474572
IHD,M,677.1293499408,9891.9847429621,881.4851711576,10773.4732624769
IHD,M,1733.2592368425,11032.5325912381,920.0060888265,11952.5386800645
IHD,F,1.3928618392,118.2429900591,0.5200796624,118.7629149955
IHD,F,0.6721587626,51.1006737556,2.7589142736,53.8596754846
IHD,F,5.5262727008,342.8030975753,91.5967892564,434.3999549066
IHD,F,14.0497486577,653.6294919139,133.3060093594,786.9352257087
IHD,F,112.740666058,3748.412736791,600.2002281371,4348.6104775773
IHD,F,218.2851193888,5014.0088264999,674.3238763161,5688.3289503912
IHD,F,422.52049012,6076.1273641336,648.2609983386,6724.389308771
IHD,F,2055.032748783,11252.5705529037,868.2632186412,12120.741977104
Stroke,M,4.4805648945,382.2789532487,1.0179713774,383.297049235
Stroke,M,1.819789843,137.5408180508,33.3955222463,170.9361590385
Stroke,M,11.0188552024,687.7016427973,251.7015638572,939.4032066546
Stroke,M,22.6166685709,1061.970907049,314.1901725773,1376.1606910236
Stroke,M,119.9368787851,4032.1797049533,1218.0933739703,5250.2709448824
Stroke,M,138.7841025942,3197.6961385315,1216.4412488302,4414.1443687023
Stroke,M,238.8457271806,3451.3672028251,1331.3168003729,4782.6812157339
Stroke,M,593.5162115878,3777.8338197191,1135.1598140377,4912.9963273227
Stroke,F,3.412464178,290.599357927,0.6725849094,291.2719610394
Stroke,F,1.6321778909,124.1966847523,23.3284976337,147.5252370457
Stroke,F,8.5398569368,531.985159394,175.976456222,707.9615021577
Stroke,F,16.4484862334,770.2439595483,217.1042804824,987.3490494368
Stroke,F,86.6972295218,2927.8740620781,1005.1906278761,3933.0652123838
Stroke,F,101.089654976,2318.7866185802,949.2186271546,3268.0073613101
