severity,roadType,strikingMode,victimMode,value
Fatal,Arterial,mbike,LGV,0
Fatal,Arterial,ebike,LGV,0
Fatal,Highway,walk,LGV,0
Fatal,Highway,cycle,LGV,0
Fatal,Highway,bus,LGV,0
Fatal,Highway,car,LGV,0
Fatal,Highway,HGV,LGV,5
Fatal,Highway,LGV,LGV,0
Fatal,Highway,mbike,LGV,0
Fatal,Highway,ebike,LGV,0
Serious,Local,walk,LGV,22
Serious,Local,cycle,LGV,4
Serious,Local,bus,LGV,16
Serious,Local,car,LGV,216
Serious,Local,HGV,LGV,50
Serious,Local,LGV,LGV,27
Serious,Local,mbike,LGV,3
Serious,Local,ebike,LGV,11
Serious,Arterial,walk,LGV,18
Serious,Arterial,cycle,LGV,3
Serious,Arterial,bus,LGV,33
Serious,Arterial,car,LGV,152
Serious,Arterial,HGV,LGV,10
Serious,Arterial,LGV,LGV,16
Serious,Arterial,mbike,LGV,4
Serious,Arterial,ebike,LGV,1
Serious,Highway,walk,LGV,1
Serious,Highway,cycle,LGV,0
Serious,Highway,bus,LGV,2
Serious,Highway,car,LGV,17
Serious,Highway,HGV,LGV,32
Serious,Highway,LGV,LGV,6
Serious,Highway,mbike,LGV,0
Serious,Highway,ebike,LGV,0
Fatal,Local,walk,mbike,0
Fatal,Local,cycle,mbike,0
Fatal,Local,bus,mbike,2
Fatal,Local,car,mbike,13
Fatal,Local,HGV,mbike,31
Fatal,Local,LGV,mbike,4
Fatal,Local,mbike,mbike,0
Fatal,Local,ebike,mbike,3
Fatal,Arterial,walk,mbike,0
Fatal,Arterial,cycle,mbike,0
Fatal,Arterial,bus,mbike,0
Fatal,Arterial,car,mbike,1
Fatal,Arterial,HGV,mbike,4
Fatal,Arterial,LGV,mbike,0
Fatal,Arterial,mbike,mbike,0
Fatal,Arterial,ebike,mbike,0
Fatal,Highway,walk,mbike,0
Fatal,Highway,cycle,mbike,0
Fatal,Highway,bus,mbike,2
Fatal,Highway,car,mbike,11
Fatal,Highway,HGV,mbike,52
Fatal,Highway,LGV,mbike,1
Fatal,Highway,mbike,mbike,0
Fatal,Highway,ebike,mbike,0
Serious,Local,walk,mbike,6
Serious,Local,cycle,mbike,3
Serious,Local,bus,mbike,8
Serious,Local,car,mbike,167
Serious,Local,HGV,mbike,147
Serious,Local,LGV,mbike,48
Serious,Local,mbike,mbike,1
Serious,Local,ebike,mbike,14
Serious,Arterial,walk,mbike,4
Serious,Arterial,cycle,mbike,1
Serious,Arterial,bus,mbike,7
Serious,Arterial,car,mbike,50
Serious,Arterial,HGV,mbike,23
Serious,Arterial,LGV,mbike,10
Serious,Arterial,mbike,mbike,1
Serious,Arterial,ebike,mbike,3
Serious,Highway,walk,mbike,1
Serious,Highway,cycle,mbike,0
Serious,Highway,bus,mbike,3
Serious,Highway,car,mbike,55
Serious,Highway,HGV,mbike,142
Serious,Highway,LGV,mbike,16
Serious,Highway,mbike,mbike,1
Serious,Highway,ebike,mbike,0
Fatal,Local,walk,ebike,0
Fatal,Local,cycle,ebike,0
Fatal,Local,bus,ebike,0
Fatal,Local,car,ebike,0
Fatal,Local,HGV,ebike,0
Fatal,Local,LGV,ebike,0
Fatal,Local,mbike,ebike,0
Fatal,Local,ebike,ebike,0
Fatal,Arterial,walk,ebike,0
Fatal,Arterial,cycle,ebike,0
Fatal,Arterial,bus,ebike,0
Fatal,Arterial,car,ebike,0
Fatal,Arterial,HGV,ebike,0
Fatal,Arterial,LGV,ebike,0
Fatal,Arterial,mbike,ebike,0
Fatal,Arterial,ebike,ebike,0
Fatal,Highway,walk,ebike,0
Fatal,Highway,cycle,ebike,0
Fatal,Highway,bus,ebike,0
Fatal,Highway,car,ebike,0
Fatal,Highway,HGV,ebike,0
Fatal,Highway,LGV,ebike,0
Fatal,Highway,mbike,ebike,0
Fatal,Highway,ebike,ebike,0
Serious,Local,walk,ebike,0
Serious,Local,cycle,ebike,0
Serious,Local,bus,ebike,0
Serious,Local,car,ebike,0
Serious,Local,HGV,ebike,0
Serious,Local,LGV,ebike,0
Serious,Local,mbike,ebike,0
Serious,Local,ebike,ebike,0
Serious,Arterial,walk,ebike,0
Serious,Arterial,cycle,ebike,0
Serious,Arterial,bus,ebike,0
Serious,Arterial,car,ebike,0
Serious,Arterial,HGV,ebike,0
Serious,Arterial,LGV,ebike,0
Serious,Arterial,mbike,ebike,0
Serious,Arterial,ebike,ebike,0
Serious,Highway,walk,ebike,0
Serious,Highway,cycle,ebike,0
Serious,Highway,bus,ebike,0
Serious,Highway,car,ebike,0
Serious,Highway,HGV,ebike,0
Serious,Highway,LGV,ebike,0
Serious,Highway,mbike,ebike,0
Serious,Highway,ebike,ebike,0
Fatal,Local,walk,NOV,0
Fatal,Local,cycle,NOV,0
Fatal,Local,bus,NOV,0
Fatal,Local,car,NOV,0
Fatal,Local,HGV,NOV,0
Fatal,Local,LGV,NOV,0
Fatal,Local,mbike,NOV,0
Fatal,Local,ebike,NOV,0
Fatal,Arterial,walk,NOV,0
Fatal,Arterial,cycle,NOV,0
Fatal,Arterial,bus,NOV,0
Fatal,Arterial,car,NOV,0
