disease,sex,ageClass,burdenType,value
Diabetes,F,ageClass5,dproj,4578.90949
Diabetes,F,ageClass6,dproj,6758.352847
Diabetes,F,ageClass7,dproj,9923.154526
Diabetes,F,ageClass8,dproj,22351.60356
Diabetes,F,ageClass1,yll,1109.881129
Diabetes,F,ageClass2,yll,1049.795661
Diabetes,F,ageClass3,yll,10947.62911
Diabetes,F,ageClass4,yll,43161.19893
Diabetes,F,ageClass5,yll,152023.07
Diabetes,F,ageClass6,yll,155698.213
Diabetes,F,ageClass7,yll,144649.372
Diabetes,F,ageClass8,yll,122388.1889
Diabetes,F,ageClass1,yld,2456.162704
Diabetes,F,ageClass2,yld,5852.554685
Diabetes,F,ageClass3,yld,17390.36292
Diabetes,F,ageClass4,yld,67533.39562
Diabetes,F,ageClass5,yld,174140.4111
Diabetes,F,ageClass6,yld,125839.5926
Diabetes,F,ageClass7,yld,102622.3088
Diabetes,F,ageClass8,yld,89072.18158
Diabetes,F,ageClass1,daly,3566.033353
Diabetes,F,ageClass2,daly,6902.340456
Diabetes,F,ageClass3,daly,28337.96231
Diabetes,F,ageClass4,daly,110694.4646
Diabetes,F,ageClass5,daly,326163.0897
Diabetes,F,ageClass6,daly,281537.2325
Diabetes,F,ageClass7,daly,247271.6808
Diabetes,F,ageClass8,daly,211460.3704
HHD,M,ageClass1,dproj,12.42893824
HHD,M,ageClass2,dproj,5.942653602
HHD,M,ageClass3,dproj,120.2686724
HHD,M,ageClass4,dproj,891.8405768
HHD,M,ageClass5,dproj,3844.324705
HHD,M,ageClass6,dproj,3128.374535
HHD,M,ageClass7,dproj,3212.576738
HHD,M,ageClass8,dproj,6675.773017
HHD,M,ageClass1,yll,1053.603248
HHD,M,ageClass2,yll,447.7399928
HHD,M,ageClass3,yll,7389.222003
HHD,M,ageClass4,yll,41814.53376
HHD,M,ageClass5,yll,130346.3764
HHD,M,ageClass6,yll,73027.26457
HHD,M,ageClass7,yll,47195.24037
HHD,M,ageClass8,yll,42492.48986
HHD,M,ageClass1,yld,3.986260951
HHD,M,ageClass2,yld,15.83252057
HHD,M,ageClass3,yld,170.9455523
HHD,M,ageClass4,yld,548.3069259
HHD,M,ageClass5,yld,1804.977567
HHD,M,ageClass6,yld,1631.115271
HHD,M,ageClass7,yld,1729.557674
HHD,M,ageClass8,yld,2009.260045
HHD,M,ageClass1,daly,1057.589309
HHD,M,ageClass2,daly,463.57167
HHD,M,ageClass3,daly,7560.15999
HHD,M,ageClass4,daly,42362.79595
HHD,M,ageClass5,daly,132151.3334
HHD,M,ageClass6,daly,74658.21787
HHD,M,ageClass7,daly,48924.87817
HHD,M,ageClass8,daly,44501.7891
HHD,F,ageClass1,dproj,7.284231547
HHD,F,ageClass2,dproj,3.016319308
HHD,F,ageClass3,dproj,31.84091862
HHD,F,ageClass4,dproj,346.664435
HHD,F,ageClass5,dproj,1844.271641
HHD,F,ageClass6,dproj,2212.34566
HHD,F,ageClass7,dproj,3940.205237
HHD,F,ageClass8,dproj,18212.61444
