"disease","sex","ageClass","burdenType","value"
"Diabetes","F","ageClass1","deaths",0
"Diabetes","F","ageClass1","yld",11.3983547412526
"Diabetes","F","ageClass1","yll",0
"Diabetes","F","ageClass2","daly",28.2578239306841
"Diabetes","F","ageClass2","deaths",0
"Diabetes","F","ageClass2","yld",28.2578239306841
"Diabetes","F","ageClass2","yll",0
"Diabetes","F","ageClass3","daly",167.256837828473
"Diabetes","F","ageClass3","deaths",1.34691044774364
"Diabetes","F","ageClass3","yld",90.3383226081533
"Diabetes","F","ageClass3","yll",76.9185152203193
"Diabetes","F","ageClass4","daly",648.274668072428
"Diabetes","F","ageClass4","deaths",5.82718310475382
"Diabetes","F","ageClass4","yld",395.211774767137
"Diabetes","F","ageClass4","yll",253.062893305291
"Diabetes","F","ageClass5","daly",1307.89243223584
"Diabetes","F","ageClass5","deaths",19.0949619241671
"Diabetes","F","ageClass5","yld",726.200097516375
"Diabetes","F","ageClass5","yll",581.692334719468
"Diabetes","F","ageClass6","daly",1011.17814326815
"Diabetes","F","ageClass6","deaths",26.1293865419706
"Diabetes","F","ageClass6","yld",486.525553027484
"Diabetes","F","ageClass6","yll",524.652590240664
"Diabetes","F","ageClass7","daly",909.1049612356
"Diabetes","F","ageClass7","deaths",40.4613214770239
"Diabetes","F","ageClass7","yld",418.438936445884
"Diabetes","F","ageClass7","yll",490.666024789716
"Diabetes","F","ageClass8","daly",678.057134835691
"Diabetes","F","ageClass8","deaths",73.9855147029723
"Diabetes","F","ageClass8","yld",294.835723246323
"Diabetes","F","ageClass8","yll",383.221411589368
"Diabetes","M","ageClass1","daly",13.6579298327319
"Diabetes","M","ageClass1","deaths",0
"Diabetes","M","ageClass1","yld",13.6579298327319
"Diabetes","M","ageClass1","yll",0
"Diabetes","M","ageClass2","daly",30.8754400853621
"Diabetes","M","ageClass2","deaths",0
"Diabetes","M","ageClass2","yld",30.8754400853621
"Diabetes","M","ageClass2","yll",0
"Diabetes","M","ageClass3","daly",140.981473475156
"Diabetes","M","ageClass3","deaths",0.770759017159551
"Diabetes","M","ageClass3","yld",96.429755159349
"Diabetes","M","ageClass3","yll",44.5517183158067
"Diabetes","M","ageClass4","daly",738.680400409365
"Diabetes","M","ageClass4","deaths",6.41391392646895
"Diabetes","M","ageClass4","yld",468.893343750706
"Diabetes","M","ageClass4","yll",269.787056658659
"Diabetes","M","ageClass5","daly",1815.24559294435
"Diabetes","M","ageClass5","deaths",32.5114966664006
"Diabetes","M","ageClass5","yld",927.000310320954
"Diabetes","M","ageClass5","yll",888.245282623399
"Diabetes","M","ageClass6","daly",1616.46896827368
