sex,ageClass,burdenType,disease,value
F,ageClass2,yld,Dementia,0
F,ageClass2,yll,Dementia,0
F,ageClass3,daly,Dementia,0
F,ageClass3,deaths,Dementia,0
F,ageClass3,yld,Dementia,0
F,ageClass3,yll,Dementia,0
F,ageClass4,daly,Dementia,22.51305286
F,ageClass4,deaths,Dementia,0.4
F,ageClass4,yld,Dementia,3.800833678
F,ageClass4,yll,Dementia,18.71221918
F,ageClass5,daly,Dementia,542.8679448
F,ageClass5,deaths,Dementia,8.4
F,ageClass5,yld,Dementia,331.977056
F,ageClass5,yll,Dementia,210.8908888
F,ageClass6,daly,Dementia,1660.224061
F,ageClass6,deaths,Dementia,42.2
F,ageClass6,yld,Dementia,1000.235043
F,ageClass6,yll,Dementia,659.989018
F,ageClass7,daly,Dementia,3606.676866
F,ageClass7,deaths,Dementia,203
F,ageClass7,yld,Dementia,1816.141745
F,ageClass7,yll,Dementia,1790.535121
F,ageClass8,daly,Dementia,12574.14702
F,ageClass8,deaths,Dementia,1795
F,ageClass8,yld,Dementia,6530.388929
F,ageClass8,yll,Dementia,6043.75809
M,ageClass1,daly,Dementia,32.66544174
M,ageClass1,deaths,Dementia,0.4
M,ageClass1,yld,Dementia,0
M,ageClass1,yll,Dementia,32.66544174
M,ageClass2,daly,Dementia,15.55592292
M,ageClass2,deaths,Dementia,0.2
M,ageClass2,yld,Dementia,0
M,ageClass2,yll,Dementia,15.55592292
M,ageClass3,daly,Dementia,10.797668
M,ageClass3,deaths,Dementia,0.2
M,ageClass3,yld,Dementia,0
M,ageClass3,yll,Dementia,10.797668
M,ageClass4,daly,Dementia,37.90199473
M,ageClass4,deaths,Dementia,0.8
M,ageClass4,yld,Dementia,3.313280724
M,ageClass4,yll,Dementia,34.58871401
M,ageClass5,daly,Dementia,447.9258371
M,ageClass5,deaths,Dementia,9.2
M,ageClass5,yld,Dementia,244.1578827
M,ageClass5,yll,Dementia,203.7679544
M,ageClass6,daly,Dementia,1144.376382
M,ageClass6,deaths,Dementia,37.8
M,ageClass6,yld,Dementia,631.2235852
M,ageClass6,yll,Dementia,513.1527964
M,ageClass7,daly,Dementia,2495.665918
M,ageClass7,deaths,Dementia,167.4
M,ageClass7,yld,Dementia,1240.077196
M,ageClass7,yll,Dementia,1255.588722
M,ageClass8,daly,Dementia,6037.971223
M,ageClass8,deaths,Dementia,797.8
M,ageClass8,yld,Dementia,3526.962362
M,ageClass8,yll,Dementia,2511.008861
F,ageClass1,daly,Depression,0.849339461
F,ageClass1,deaths,Depression,0
F,ageClass1,yld,Depression,0.849339461
F,ageClass1,yll,Depression,0
F,ageClass2,daly,Depression,875.6572554
F,ageClass2,deaths,Depression,0
F,ageClass2,yld,Depression,875.6572554
F,ageClass2,yll,Depression,0
F,ageClass3,daly,Depression,6656.584634
F,ageClass3,deaths,Depression,0
F,ageClass3,yld,Depression,6656.584634
F,ageClass3,yll,Depression,0
F,ageClass4,daly,Depression,5161.680115
F,ageClass4,deaths,Depression,0
F,ageClass4,yld,Depression,5161.680115
F,ageClass4,yll,Depression,0
F,ageClass5,daly,Depression,5329.604067
F,ageClass5,deaths,Depression,1.4
F,ageClass5,yld,Depression,5292.834041
F,ageClass5,yll,Depression,36.77002587
F,ageClass6,daly,Depression,2586.745067
F,ageClass6,deaths,Depression,1
F,ageClass6,yld,Depression,2572.226033
F,ageClass6,yll,Depression,14.51903424
F,ageClass7,daly,Depression,1188.199033
F,ageClass7,deaths,Depression,1.8
F,ageClass7,yld,Depression,1170.926529
F,ageClass7,yll,Depression,17.27250448
F,ageClass8,daly,Depression,985.202835
F,ageClass8,deaths,Depression,5.6
F,ageClass8,yld,Depression,966.7097828
F,ageClass8,yll,Depression,18.49305219
M,ageClass1,daly,Depression,0.514823139
M,ageClass1,deaths,Depression,0
M,ageClass1,yld,Depression,0.514823139
M,ageClass1,yll,Depression,0
M,ageClass2,daly,Depression,865.3095504
M,ageClass2,deaths,Depression,0
M,ageClass2,yld,Depression,865.3095504
M,ageClass2,yll,Depression,0
M,ageClass3,daly,Depression,2613.348456
M,ageClass3,deaths,Depression,0
M,ageClass3,yld,Depression,2613.348456
M,ageClass3,yll,Depression,0
M,ageClass4,daly,Depression,3194.680356
M,ageClass4,deaths,Depression,0.2
M,ageClass4,yld,Depression,3186.336058
M,ageClass4,yll,Depression,8.344298264
M,ageClass5,daly,Depression,3048.39467
M,ageClass5,deaths,Depression,0.6
M,ageClass5,yld,Depression,3036.038919
M,ageClass5,yll,Depression,12.35575027
M,ageClass6,daly,Depression,1400.505684
M,ageClass6,deaths,Depression,0.6
M,ageClass6,yld,Depression,1392.27536
M,ageClass6,yll,Depression,8.230324289
M,ageClass7,daly,Depression,589.0865959
M,ageClass7,deaths,Depression,1.4
M,ageClass7,yld,Depression,578.6927788
M,ageClass7,yll,Depression,10.39381711
M,ageClass8,daly,Depression,349.4669437
M,ageClass8,deaths,Depression,1.2
M,ageClass8,yld,Depression,345.4328166
M,ageClass8,yll,Depression,4.034127031
F,ageClass1,daly,Diabetes,22.50047891
F,ageClass1,deaths,Diabetes,0
F,ageClass1,yld,Diabetes,22.50047891
F,ageClass1,yll,Diabetes,0
F,ageClass2,daly,Diabetes,51.65222788
F,ageClass2,deaths,Diabetes,0.2
F,ageClass2,yld,Diabetes,36.8078845
F,ageClass2,yll,Diabetes,14.84434338
F,ageClass3,daly,Diabetes,403.9959816
F,ageClass3,deaths,Diabetes,2
F,ageClass3,yld,Diabetes,288.2131439
F,ageClass3,yll,Diabetes,115.7828377
F,ageClass4,daly,Diabetes,1501.370392
F,ageClass4,deaths,Diabetes,13
F,ageClass4,yld,Diabetes,962.7848634
F,ageClass4,yll,Diabetes,538.5855285
F,ageClass5,daly,Diabetes,2959.892103
F,ageClass5,deaths,Diabetes,45.8
F,ageClass5,yld,Diabetes,1741.818842
F,ageClass5,yll,Diabetes,1218.073261
F,ageClass6,daly,Diabetes,2342.343124
F,ageClass6,deaths,Diabetes,67.2
F,ageClass6,yld,Diabetes,1251.254679
F,ageClass6,yll,Diabetes,1091.088446
F,ageClass7,daly,Diabetes,1646.049138
F,ageClass7,deaths,Diabetes,83.6
F,ageClass7,yld,Diabetes,864.5663021
F,ageClass7,yll,Diabetes,781.482836
F,ageClass8,daly,Diabetes,1340.952819
F,ageClass8,deaths,Diabetes,175.4
F,ageClass8,yld,Diabetes,698.9771723
F,ageClass8,yll,Diabetes,641.9756466
M,ageClass1,daly,Diabetes,27.03513048
M,ageClass1,deaths,Diabetes,0
M,ageClass1,yld,Diabetes,27.03513048
M,ageClass1,yll,Diabetes,0
M,ageClass2,daly,Diabetes,63.69698982
M,ageClass2,deaths,Diabetes,0
M,ageClass2,yld,Diabetes,63.69698982
M,ageClass2,yll,Diabetes,0
M,ageClass3,daly,Diabetes,312.4871129
M,ageClass3,deaths,Diabetes,2
M,ageClass3,yld,Diabetes,197.3094816
M,ageClass3,yll,Diabetes,115.1776313
M,ageClass4,daly,Diabetes,1633.031303
M,ageClass4,deaths,Diabetes,17
M,ageClass4,yld,Diabetes,956.3690378
M,ageClass4,yll,Diabetes,676.662265
M,ageClass5,daly,Diabetes,4125.495732
M,ageClass5,deaths,Diabetes,78.6
M,ageClass5,yld,Diabetes,2241.121814
M,ageClass5,yll,Diabetes,1884.373918
M,ageClass6,daly,Diabetes,3384.362314
M,ageClass6,deaths,Diabetes,116.4
M,ageClass6,yld,Diabetes,1720.326291
M,ageClass6,yll,Diabetes,1664.036023
M,ageClass7,daly,Diabetes,1885.673633
M,ageClass7,deaths,Diabetes,113.4
M,ageClass7,yld,Diabetes,973.3091002
M,ageClass7,yll,Diabetes,912.3645327
M,ageClass8,daly,Diabetes,1081.697117
M,ageClass8,deaths,Diabetes,147.8
M,ageClass8,yld,Diabetes,563.9053032
M,ageClass8,yll,Diabetes,517.7918143
F,ageClass1,daly,RTIs,53.07110094
F,ageClass1,deaths,RTIs,0.6
F,ageClass1,yld,RTIs,2.678238032
F,ageClass1,yll,RTIs,50.39286291
F,ageClass2,daly,RTIs,259.4389359
F,ageClass2,deaths,RTIs,3
