disease,sex,ageClass,burdenType,value
Dementia,F,ageClass1,yld,0
Dementia,F,ageClass2,yld,0
Dementia,F,ageClass3,yld,0
Dementia,F,ageClass4,yld,344.7912474
Dementia,F,ageClass5,yld,31992.18946
Dementia,F,ageClass6,yld,49406.96796
Dementia,F,ageClass7,yld,102226.7346
Dementia,F,ageClass8,yld,344063.4933
Diabetes,M,ageClass1,yld,2938.684123
Diabetes,M,ageClass2,yld,6416.343813
Diabetes,M,ageClass3,yld,19532.31009
Diabetes,M,ageClass4,yld,79436.50778
Diabetes,M,ageClass5,yld,190597.5258
Diabetes,M,ageClass6,yld,123205.1747
Diabetes,M,ageClass7,yld,85592.00741
Diabetes,M,ageClass8,yld,51844.81997
Diabetes,F,ageClass1,yld,2456.162704
Diabetes,F,ageClass2,yld,5852.554685
Diabetes,F,ageClass3,yld,17390.36292
Diabetes,F,ageClass4,yld,67533.39562
Diabetes,F,ageClass5,yld,174140.4111
Diabetes,F,ageClass6,yld,125839.5926
Diabetes,F,ageClass7,yld,102622.3088
Diabetes,F,ageClass8,yld,89072.18158
Depression,M,ageClass1,yld,55.9606171
Depression,M,ageClass2,yld,87164.61477
Depression,M,ageClass3,yld,258703.9002
Depression,M,ageClass4,yld,288361.9593
Depression,M,ageClass5,yld,291442.8825
Depression,M,ageClass6,yld,102534.561
Depression,M,ageClass7,yld,48457.02292
Depression,M,ageClass8,yld,29506.46872
Depression,F,ageClass1,yld,92.71428918
Depression,F,ageClass2,yld,139231.9076
Depression,F,ageClass3,yld,401648.6585
Depression,F,ageClass4,yld,468239.938
Depression,F,ageClass5,yld,510063.4104
Depression,F,ageClass6,yld,193974.9301
Depression,F,ageClass7,yld,106012.5743
Depression,F,ageClass8,yld,92457.41071
CVD,M,ageClass1,yld,55.9606171
CVD,M,ageClass2,yld,87164.61477
CVD,M,ageClass3,yld,258703.9002
CVD,M,ageClass4,yld,288361.9593
CVD,M,ageClass5,yld,291442.8825
CVD,M,ageClass6,yld,102534.561
CVD,M,ageClass7,yld,48457.02292
CVD,M,ageClass8,yld,29506.46872
CVD,F,ageClass1,yld,92.71428918
CVD,F,ageClass2,yld,139231.9076
CVD,F,ageClass3,yld,401648.6585
CVD,F,ageClass4,yld,468239.938
